Energy Unpiled Piled
7.690000057220459 0 0
7.699999809265137 0 0
7.710000038146973 0 0
7.71999979019165 0 0
7.730000019073486 0 0
7.739999771118164 0 0
7.75 0 0
7.760000228881836 0 0
7.769999980926514 0 0
7.78000020980835 0 0
7.789999961853027 0 0
7.800000190734863 0 0
7.809999942779541 0 0
7.820000171661377 0 0
7.829999923706055 0 0
7.840000152587891 0 0
7.849999904632568 0 0
7.860000133514404 0 0
7.869999885559082 0 0
7.880000114440918 0 0
7.889999866485596 0 0
7.900000095367432 0 0
7.909999847412109 0 1
7.920000076293945 0 0
7.929999828338623 0 0
7.940000057220459 0 0
7.949999809265137 0 0
7.960000038146973 0 0
7.96999979019165 1 0
7.980000019073486 0 0
7.989999771118164 0 0
8.0 0 0
8.010000228881836 1 0
8.020000457763672 0 0
8.029999732971191 0 0
8.039999961853027 0 0
8.050000190734863 1 0
8.0600004196167 0 0
8.069999694824219 0 0
8.079999923706055 0 0
8.09000015258789 0 0
8.100000381469727 0 1
8.109999656677246 0 0
8.119999885559082 0 0
8.130000114440918 0 0
8.140000343322754 0 0
8.149999618530273 0 0
8.15999984741211 0 0
8.170000076293945 0 0
8.180000305175781 0 1
8.1899995803833 0 0
8.199999809265137 0 0
8.210000038146973 0 1
8.220000267028809 0 1
8.229999542236328 0 0
8.239999771118164 0 0
8.25 0 0
8.260000228881836 0 0
8.270000457763672 0 0
8.279999732971191 0 0
8.289999961853027 0 1
8.300000190734863 0 0
8.3100004196167 0 0
8.319999694824219 0 0
8.329999923706055 0 0
8.34000015258789 0 0
8.350000381469727 0 0
8.359999656677246 0 0
8.369999885559082 0 0
8.380000114440918 0 0
8.390000343322754 0 0
8.399999618530273 0 0
8.40999984741211 0 0
8.420000076293945 0 0
8.430000305175781 0 0
8.4399995803833 0 0
8.449999809265137 0 0
8.460000038146973 0 0
8.470000267028809 0 0
8.479999542236328 0 0
8.489999771118164 0 0
8.5 0 0
8.510000228881836 0 0
8.520000457763672 0 0
8.529999732971191 0 0
8.539999961853027 0 0
8.550000190734863 0 0
8.5600004196167 1 0
8.569999694824219 0 0
8.579999923706055 0 0
8.59000015258789 0 0
8.600000381469727 1 0
8.609999656677246 0 0
8.619999885559082 0 0
8.630000114440918 0 0
8.640000343322754 0 0
8.649999618530273 0 0
8.65999984741211 0 0
8.670000076293945 0 0
8.680000305175781 0 0
8.6899995803833 0 0
8.699999809265137 0 0
8.710000038146973 0 0
8.720000267028809 0 0
8.729999542236328 0 0
8.739999771118164 0 0
8.75 0 0
8.760000228881836 0 0
8.770000457763672 0 0
8.779999732971191 0 0
8.789999961853027 0 0
8.800000190734863 0 0
